ST01Q01,International Grade,Me,International Grade,,,,,,,,2012,,,,,,,,,,,
ST19Q01,Language at home,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q01,Possessions desk,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q02,Possessions own room,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q03,Possessions study place,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q04,Possessions  computer,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q05,Possessions software,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q06,Possessions Internet,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q07,Possessions literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q08,Possessions poetry,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q09,Possessions art,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q10,Possessions textbooks,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q11,Possessions <technical reference books>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q12,Possessions dictionary,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q13,Possessions dishwasher,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q14,Possessions <DVD>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q15,Possessions <Cntry item 1>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q16,Possessions <Cntry item 2>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST20Q17,Possessions <Cntry item 3>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST21Q01,How many cellular phones,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST21Q02,How many televisions,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST21Q03,How many computers,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST21Q04,How many cars,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST21Q05,How many rooms bath or shower,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST22Q01,How many books at home,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST23Q01,Reading Enjoyment Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST24Q01,Read Attitude - Only if I have to,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST24Q02,Read Attitude - Favourite hobbies,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST24Q03,Read Attitude - Talk about books,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST24Q04,Read Attitude - Hard to finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST24Q05,Read Attitude - Happy as present,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST24Q06,Read Attitude - Waste of time,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST24Q07,Read Attitude - Enjoy library,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST24Q08,Read Attitude - Need information,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST24Q09,Read Attitude - Cannot sit still,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST24Q10,Read Attitude - Express opinions,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST24Q11,Read Attitude - Exchange,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST25Q01,Like Read - Magazines,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST25Q02,Like Read - Comic Books,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST25Q03,Like Read - Fiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST25Q04,Like Read - Non-fiction books,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST25Q05,Like Read - Newspapers,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST26Q01,Online - Reading Emails,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST26Q02,Online - Chat on line,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST26Q03,Online - Reading News,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST26Q04,Online - Using Dictionary,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST26Q05,Online - Particular Topic,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST26Q06,Online - Group Discussions,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST26Q07,Online - Practical Information,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST27Q01,Study - Memorize Everything,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST27Q02,Study - Figure Out,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST27Q03,Study - Memorize Details,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST27Q04,Study - Relate New Information,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST27Q05,Study - Read Many Times,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST27Q06,Study - Check if Understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST27Q07,Study - Read Text Repeatedly,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST27Q08,Study - Useful Outside School,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST27Q09,Study - Haven't Understood,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST27Q10,Study - Relate to Experience,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST27Q11,Study - Important Points,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST27Q12,Study - Real Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST27Q13,Study - Additional Information,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST28Q01,Min in <class period> for <test lang>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST28Q02,Min in <class period> for <Maths>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST28Q03,Min in <class period> for <Science>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST29Q01,No of <class period> - <test lang> p/wk,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST29Q02,No of <class period> - <Maths> p/wk,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST29Q03,No of <class period> - <Sci> p/wk,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST30Q01,No of ALL <class period> a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST31Q01,<Enrich> in <test lang>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST31Q02,<Enrich> in <mathematics>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST31Q03,<Enrich> in <science>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST31Q04,<Enrich> in other subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST31Q05,<Remedial> in <test lang>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST31Q06,<Remedial> in <mathematics>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST31Q07,<Remedial> in <science>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST31Q08,<Remedial> in other subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST31Q09,Lessons to improve study skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST32Q01,Out of school lessons <test lang>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST32Q02,Out of school lessons <maths>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST32Q03,Out of school lessons <science>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST32Q04,Out of school lessons other,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST33Q01,Climate - Little for Adult Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST33Q02,Climate - Waste of Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST33Q03,Climate - Given Confidence,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST33Q04,Climate - Useful for Jobs,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST34Q01,Teachers - Get along well,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST34Q02,Teachers - Interested in well-being,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST34Q03,Teachers - Really listen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST34Q04,Teachers - Extra help,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST34Q05,Teachers - Treat me fairly,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST35Q01,Attend language class,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST36Q01,Lessons - Students don�t listen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST36Q02,Lessons - Noise and disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST36Q03,Lessons - Wait for quiet,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST36Q04,Lessons - Cannot work well,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST36Q05,Lessons - Long time to start,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST37Q01,Stimulate - Explain text,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST37Q02,Stimulate - Better understanding,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST37Q03,Stimulate - Time to think,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST37Q04,Stimulate - Recommend books,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST37Q05,Stimulate - Express opinion,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST37Q06,Stimulate - Relate to lives,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST37Q07,Stimulate - Build on knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST38Q01,Strategies - Explain Expectations,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST38Q02,Strategies - Check Concentrating,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST38Q03,Strategies - Discuss work,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST38Q04,Strategies - Explain judgements,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST38Q05,Strategies - Ask if understood,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST38Q06,Strategies - Mark work,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST38Q07,Strategies - Student questions,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST38Q08,Strategies - Motivating questions,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST38Q09,Strategies - Immediate feedback,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST39Q01,Library - Borrow for pleasure,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST39Q02,Library - Borrow for work,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST39Q03,Library - Work on homework,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST39Q04,Library - Read magazines,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST39Q05,Library - Read for fun,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST39Q06,Library - Learn things,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST39Q07,Library - Use internet,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST40Q01,Library at school,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST41Q01,Text - Easy to Understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST41Q02,Text - Read twice,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST41Q03,Text - Discuss content,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST41Q04,Text - Underline,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST41Q05,Text - Summarise,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST41Q06,Text - Read aloud,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST42Q01,Summary - Check paragraph,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST42Q02,Summary - Copy accurately,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST42Q03,Summary - Read many times,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST42Q04,Summary - Check important facts,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST42Q05,Summary - Write own words,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC01Q01,At home - Desktop Computer,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC01Q02,At home - Portable laptop,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC01Q03,At home - Internet connection,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC01Q04,At home - Video games console,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC01Q05,At home - Cell Phone,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC01Q06,At home - Mp3/Mp4 Player,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC01Q07,At home - Printer,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC01Q08,At home - USB (memory) stick,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC02Q01,At School - Desktop Computer,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC02Q02,At School - Portable laptop,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC02Q03,At School - Internet connection,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC02Q04,At School - Printer,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC02Q05,At School - USB (memory) stick,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC03Q01,Ever Used Computer,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC04Q01,At Home - One Player Games,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC04Q02,At Home - Collaborative Games,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC04Q03,At Home - Homework,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC04Q04,At Home - Use email,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC04Q05,At Home - Chat on line,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC04Q06,At Home - Browse for fun,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC04Q07,At Home - Download music,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC04Q08,At Home - Website,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC04Q09,At Home - Online forums,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC05Q01,At Home - Internet for School,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC05Q02,At Home - Email students,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC05Q03,At Home - Email teachers,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC05Q04,At Home - Download from school,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC05Q05,At Home - Announcements,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC06Q01,At School - Chat,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC06Q02,At School - Email,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC06Q03,At School - Browse for school,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC06Q04,At School - Download from website,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC06Q05,At School - Post on website,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC06Q06,At School - Simulations,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC06Q07,At School - Practice and Drilling,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC06Q08,At School - Homework,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC06Q09,At School - Group Work,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC07Q01,Time - Language Lessons,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC07Q02,Time - Mathematics Lessons,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC07Q03,Time - Science Lessons,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC07Q04,Time - Other Language Lessons,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC08Q01,How well - Edit graphics,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC08Q02,How well - Create database,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC08Q03,How well - Plot Graph,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC08Q04,How well - Presentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC08Q05,How well - Multi Media,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC09Q01,Time outside lessons,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC10Q01,Attitudes - Very Important,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC10Q02,Attitudes - Really Fun,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC10Q03,Attitudes - Very Interested,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IC10Q04,Attitudes - Lose track of time,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
EC01Q01,Miss 2 months of <ISCED 1>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
EC02Q01,Miss 2 months of <ISCED 2>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
EC03Q01,Change schools in <ISCED1>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
EC04Q01,Change schools in <ISCED2>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
EC05Q01A,Expected completed levels <ISCED level 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
EC05Q01B,Expected completed levels <ISCED level 3B or C,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
EC05Q01C,Expected completed levels <ISCED level 3A,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
EC05Q01D,Expected completed levels <ISCED level 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
EC05Q01E,Expected completed levels <ISCED level 5B,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
EC05Q01F,Expected completed levels <ISCED level 5A or 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
EC06Q01,Enrichment in <test language>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
EC06Q02,Remedial in <test language>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
EC06Q03,One to one private tutoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
EC07Q01,Report Mark,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS1Q01,Reading Texts - Information,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS1Q02,Reading Texts - Poetry,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS1Q03,Reading Texts - Diagrams,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS1Q04,Reading Texts - Fiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS1Q05,Reading Texts - Newspapers,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS1Q06,Reading Texts - Manuals,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS1Q07,Reading Texts - Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS1Q08,Reading Texts - Advertising,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS2Q01,Reading Tasks - Find information,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS2Q02,Reading Tasks - Explain cause,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS2Q03,Reading Tasks - Explain behaviour,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS2Q04,Reading Tasks - Learn about writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS2Q05,Reading Tasks - Explain purpose,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS2Q06,Reading Tasks - Memorise text,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS2Q07,Reading Tasks - Learn history,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS2Q08,Reading Tasks - Describe table,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RFS2Q09,Reading Tasks - Explain connection,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
BOOKID,Booklet ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
AGE,Age of student,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
BFMJ,Father SQ ISEI,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
